6	59
6	55
6	17
6	16
5	55
5	35
5	83
5	26
5	25
5	15
4	62
4	60
4	52
4	45
4	34
4	30
59	6
59	50
59	55
59	53
59	83
58	57
58	43
58	38
58	37
58	82
58	74
58	71
58	17
58	16
58	21
57	58
57	43
57	38
57	80
57	86
56	51
56	52
56	47
56	65
56	3
63	61
63	54
63	72
63	64
62	4
62	60
62	40
62	45
61	63
61	54
61	42
61	72
61	10
61	2
60	4
60	62
60	40
60	30
51	56
51	47
51	3
50	59
50	53
50	33
50	67
49	46
49	87
49	75
49	23
49	20
48	32
48	39
48	8
48	12
55	6
55	5
55	59
55	83
55	16
55	15
54	63
54	61
54	64
54	3
54	2
53	59
53	50
53	33
53	83
53	79
53	1
52	4
52	56
52	47
52	45
52	65
52	29
43	58
43	57
43	86
43	21
42	61
42	45
42	39
42	72
42	77
42	66
42	10
42	14
42	12
41	36
41	76
41	70
41	26
41	18
40	62
40	60
40	45
40	85
40	30
40	12
47	56
47	51
47	52
46	49
46	87
46	75
45	4
45	62
45	52
45	42
45	40
45	29
45	10
45	14
45	12
45	2
44	68
44	8
35	5
35	76
35	26
35	18
35	15
34	4
34	24
34	30
33	50
33	53
33	84
33	67
33	13
33	1
32	48
32	36
32	27
32	8
32	12
39	48
39	42
39	77
39	12
38	58
38	57
38	82
38	80
38	78
37	58
37	71
37	17
36	41
36	32
36	79
36	70
36	27
36	26
36	25
36	31
36	12
88	21
83	5
83	59
83	55
83	53
83	79
83	25
82	58
82	38
82	78
82	71
82	28
81	80
81	86
81	11
80	57
80	38
80	81
80	86
80	78
87	49
87	46
87	74
87	69
87	20
87	7
86	57
86	43
86	81
86	80
86	11
85	40
85	30
85	9
85	13
85	12
85	1
84	33
84	67
84	24
84	13
75	49
75	46
75	18
75	23
75	15
74	58
74	87
74	16
74	21
74	20
74	15
74	7
73	69
73	19
73	22
73	7
72	63
72	61
72	42
72	66
79	53
79	36
79	83
79	25
79	31
79	9
79	1
78	38
78	82
78	80
78	28
77	42
77	39
77	66
76	41
76	35
76	26
76	18
67	50
67	33
67	84
66	42
66	72
66	77
65	56
65	52
65	29
65	3
64	63
64	54
64	3
71	58
71	37
71	82
70	41
70	36
70	68
70	27
69	87
69	73
69	7
68	44
68	70
68	27
68	8
27	32
27	36
27	70
27	68
27	8
26	5
26	41
26	35
26	36
26	76
26	25
25	5
25	36
25	83
25	79
25	26
24	34
24	84
24	30
24	13
31	36
31	79
31	9
31	12
30	4
30	60
30	40
30	34
30	85
30	24
30	13
29	52
29	45
29	65
29	3
29	2
28	82
28	78
19	73
19	22
19	21
19	7
18	41
18	35
18	75
18	76
18	15
17	6
17	58
17	37
17	16
16	6
16	58
16	55
16	74
16	17
16	15
23	49
23	75
23	20
23	15
22	73
22	19
22	21
21	58
21	43
21	88
21	74
21	19
21	22
21	7
20	49
20	87
20	74
20	23
20	15
11	81
11	86
10	61
10	42
10	45
10	2
9	85
9	79
9	31
9	12
9	1
8	48
8	44
8	32
8	68
8	27
15	5
15	55
15	35
15	75
15	74
15	18
15	16
15	23
15	20
14	42
14	45
14	12
13	33
13	85
13	84
13	24
13	30
13	1
12	48
12	42
12	40
12	45
12	32
12	39
12	36
12	85
12	31
12	9
12	14
3	56
3	51
3	54
3	65
3	64
3	29
3	2
2	61
2	54
2	45
2	29
2	10
2	3
1	53
1	33
1	85
1	79
1	9
1	13
7	87
7	74
7	73
7	69
7	19
7	21
